date,HHA11AS001XQ01,HHA31AS001XQ01,HHA51AS001XQ01,HHA71AS001XQ01,HHA81AS001XQ01,HNA00AA001AXQ01,HNA00AA002AXQ01,LAF14CG101XQ01,LAF31CG101XQ01,LAF33CG101XQ01
2016/3/1 3:00,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:01,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:02,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:03,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:04,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:05,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:06,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:07,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:08,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:09,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:10,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:11,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:12,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:13,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:14,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:15,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:16,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:17,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:18,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:19,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:20,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:21,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:22,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:23,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:24,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:25,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:26,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:27,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:28,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:29,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:30,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:31,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:32,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:33,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:34,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:35,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:36,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:37,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:38,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:39,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:40,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:41,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:42,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:43,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:44,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:45,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:46,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:47,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:48,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:49,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:50,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:51,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:52,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:53,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:54,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:55,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:56,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:57,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 3:58,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 3:59,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:00,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:01,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:02,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:03,85,85,85,85,85,100,81,2.41148,0.824176,0.152625
2016/3/1 4:04,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:05,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:06,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
2016/3/1 4:07,85,85,85,85,85,100,81,2.53358,0.824176,0.152625
2016/3/1 4:08,85,85,85,85,85,100,81,2.59463,0.824176,0.152625
